dni,nombre,apellidos,fechaNacimiento,telefono,email
11111111A,Laura,Santos Ruiz,1996-03-14,+34 600 111 111,laura.santos@example.com
22222222B,Carlos,Molina Vega,1989-11-02,+34 600 222 222,carlos.molina@example.com
33333333C,Inés,Navarro Gil,1992-07-25,+34 600 333 333,ines.navarro@example.com
44444444D,Javier,Pérez Costa,1985-01-18,+34 600 444 444,javier.perez@example.com
55555555E,Marta,Ortega León,1998-09-09,+34 600 555 555,marta.ortega@example.com
66666666F,Sergio,Romero Díaz,1991-05-30,+34 600 666 666,sergio.romero@example.com
77777777G,Nuria,Iglesias Soto,1993-12-12,+34 600 777 777,nuria.iglesias@example.com
88888888H,Alberto,Cano Marín,1987-04-06,+34 600 888 888,alberto.cano@example.com
99999999J,Patricia,Herrera Soler,1995-10-21,+34 600 999 999,patricia.herrera@example.com
10101010K,Raúl,Torres Blanco,1984-08-15,+34 601 010 010,raul.torres@example.com
